0	2635.json	false	Says the Annies List political group supports third-trimester abortions on demand.	abortion	dwayne-bohac	State representative	Texas	republican	0.0	1.0	0.0	0.0	0.0	a mailer	That's a premise that he fails to back up. Annie's List makes no bones about being comfortable with candidates who oppose further restrictions on late-term abortions. Then again, this year its backing two House candidates who voted for more limits.
1	10540.json	half-true	When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.	energy,history,job-accomplishments	scott-surovell	State delegate	Virginia	democrat	0.0	0.0	1.0	1.0	0.0	a floor speech.	"Surovell said the decline of coal ""started when natural gas took off  That started to begin in President (George W. ) Bushs administration. ""No doubt, natural gas has been gaining ground on coal in generating electricity. The trend started in the 1990s but clearly gained speed during the Bush administration when the production of natural gas -- a competitor of coal -- picked up. But analysts give little credit or blame to Bush for that trend. They note that other factors, such as technological innovation, entrepreneurship and policies of previous administrations, had more to do with laying the groundwork for the natural gas boom."
2	324.json	mostly-true	"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."""	foreign-policy	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	Denver	"Obama said he would have voted against the amendment if he had been present. So though Clinton may have ""agreed"" with McCain on the issue, they did not technically vote the same way on it. To say that voting for Kyl-Lieberman is ""giving George Bush the benefit of the doubt on Iran"" remains a contentious issue. But Obama's main point is that Clinton and McCain were on the same side, and that is correct."
3	1123.json	false	Health care reform legislation is likely to mandate free sex change surgeries.	health-care	blog-posting			none	7.0	19.0	3.0	5.0	44.0	a news release	"The release may have a point that Mikulskis comment could open the door to ""medically necessary"" coverage which conceivably may include sex-change operations. But it's unclear whether her amendment will remain in the legislation, and there's nothing specific in the legislation on sex-change procedures and nothing else solid that indicates such coverage will be provided. The news release cherry-picked a few fleeting references to gender and sexual orientation in completely unrelated contexts to argue that proposed health care legislation would mandate free sex-change surgeries (and allow them for illegal aliens, no less)."
4	9028.json	half-true	The economic turnaround started at the end of my term.	economy,jobs	charlie-crist		Florida	democrat	15.0	9.0	20.0	19.0	2.0	an interview on CNN	"Crist said that the economic ""turnaround started at the end of my term. ""During Crists last year in office, Floridas economy experienced notable gains in personal income and industrial production, and more marginal improvements in the unemployment rate and in payroll employment. But GDP didnt grow again until Scott took office. Economists say Crist deserves some credit for the economic turnaround because he accepted federal stimulus dollars, but they add that any state is inevitably buffeted by national and international trends far beyond their control."
5	12465.json	true	The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.	education	robin-vos	Wisconsin Assembly speaker	Wisconsin	republican	0.0	3.0	2.0	5.0	1.0	a an online opinion-piece	"But Vos specifically used the word ""fired,"" which means faculty dismissed for just cause. Our rating Vos said the Chicago Bears have had more starting quarterbacks in the past 10 years than the number of UW faculty members who have been fired in the past 20 years. Six faculty members have been fired in the past two decades, while there have been nine different starting quarterbacks for the Bears in the past decade."
6	2342.json	barely-true	Jim Dunnam has not lived in the district he represents for years now.	candidates-biography	republican-party-texas		Texas	republican	3.0	1.0	1.0	3.0	1.0	a press release.	But determining that would take significant detective work, far more than a few photos. A broader interpretation would allow for the possibility Dunnam hasnt lived exclusively in his House district for years, but instead flits between -- and lives in -- both houses.
7	153.json	half-true	I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.	ethics	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	a Democratic debate in Philadelphia, Pa.	However, it was not that bill, but another one, sponsored by Majority Leader Harry Reid and introduced five days earlier on Jan.  4, 2007 that eventually became law. Obama was not a cosponsor, but he did successfully offer an amendment concerning lobbyist disclosure and the bill included some elements from the one he had introduced the previous year. Obama, as well as Biden, Clinton and Dodd all voted for it. In the House, Kucinich also voted for it.
8	5602.json	half-true	However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.	jobs	oregon-lottery			organization	0.0	0.0	1.0	0.0	1.0	a website 	But Johnson is correct that many other factors played a role and for the Lottery to suggest that its money was the final piece is incomplete. The statement is partially accurate -- Lottery money made the lease competitive -- but it leaves out important details. Astoria dropped out; Newports bid was better on technical fronts than the others; legislative leaders pulled together to set aside the dollars and bonding authority.
9	9741.json	mostly-true	Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.	energy,message-machine-2014,voting-record	duey-stroebel	State representative	Wisconsin	republican	0.0	0.0	0.0	1.0	0.0	an online video	"Considering that the $532 million figure covers just 5 years, its reasonable to assume the 15-year total is higher. Our rating Stroebels ad says Glenn Grothman and Joe Leibham cast a ""compromise vote that cost $788 million"" in higher electricity costs. They cast that vote, and higher costs have followed."
10	7115.json	mostly-true	For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.	elections	robert-menendez	U.S. Senator	New Jersey	democrat	1.0	3.0	1.0	3.0	0.0	a speech	The senators correct that Latino voters put Obama over the top in winning the popular vote, according to both a Latino Decisions poll and exit polling data. The 2000 election was the first time when Latino voters delivered more than enough votes for a popular vote victory, but this years election marks the first time when Latinos were decisive in electing the overall winner, according to the founders of Latino Decisions.
11	4148.json	half-true	Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.	economy,jobs,new-hampshire-2012,poverty	bernie-s	U.S. Senator	Vermont	independent	18.0	12.0	22.0	41.0	0.0	a tweet	So where does this leave us?On Sanders side, he used a solid number, and hes clearly right about the underlying trend -- despite some ups and downs, there are more impoverished Americans today than there were in 2000, both measured by raw numbers and as a percentage of the population. But we think he goes too far when he suggests these 12 million Americans simply fell from the middle class into poverty. And he ignores the fact that as those 12 million Americans were slipping into poverty, many, many Americans were simultaneously climbing out of poverty.
12	5947.json	false	When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.	history,state-budget	mitt-romney	Former governor	Massachusetts	republican	34.0	32.0	58.0	33.0	19.0	an interview with CBN News	
13	8616.json	mostly-true	The economy bled $24 billion due to the government shutdown.	economy,federal-budget,health-care	doonesbury			none	0.0	0.0	2.0	4.0	0.0	a Doonesbury strip in the Sunday comics	Doonesbury, aka Garry Trudeau, said the government shutdown cost the economy $24 billion. That is based on the highest of the independent estimates. Three prominent forecasters, Goldman Sachs, IHS and Moodys assessed the damage at $20 billion. A survey of economists set $16 billion as the most likely figure. There is broad agreement that the political impasse produced uncertainty that puts an ongoing, if unquantified, damper on growth. Trudeau likes to say he aims for verisimilitude and he achieved that with his use of a high but defensible estimate from an independent source.
14	8705.json	barely-true	Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.	health-care	george-will	Columnist	Maryland	columnist	7.0	6.0	3.0	5.0	1.0	"comments on ""Fox News Sunday"""	With all the talk about problems with the health care law, its easy to forget just how many corners of health insurance policy the law affects. Will seemed guilty of that on Fox News Sunday when he said most of the law has been waived or suspended. Obama has made at least two major course corrections in the law. He delayed the employer mandate by one year and allowed individuals dealing with canceled plans to buy insurance that fails to meet minimum standards under the law. One way to put these changes into context is to look at the number of people they affect. While precise data are missing, the combined impact could be in the range of 1 million Americans. On the other side of the ledger, 3. 1 million young adults have gained access to coverage through the law, another 18 million people are subject to the individual mandate and millions more have benefited from requirements that health insurance companies spend premiums on care.
15	10683.json	half-true	In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.	elections	bernie-s	U.S. Senator	Vermont	independent	18.0	12.0	22.0	41.0	0.0	a town hall in Austin, Texas	"Sanders said that ""in this last election in November, . . . 63 percent of the American people chose not to vote, . . . 80 percent of young people, (and) 75 percent of low-income workers chose not to vote. ""Sanders was too loose with some of his numbers and his wording, but he has a point that rates of non-voting among Americans, and especially among younger and poorer Americans, are high."
16	620.json	true	McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' 	federal-budget	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	a radio ad	"I firmly object to all 'buy America' restrictions, as they represent gross examples of protectionist trade policy. ""He added, ""Furthermore, as a fiscal conservative, I want to ensure our government gets the best deal for taxpayers and with a 'buy American' restriction that cannot be guaranteed. ""The McCain campaign did not respond to Obama's charge. But his past words say it all."
17	3863.json	barely-true	U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out	federal-budget	national-republican-congressional-committee			republican	18.0	9.0	8.0	5.0	8.0	a news release	And the debt is a result of tax cuts as well as various spending measures, and both Democrats and Republicans supported such measures.
18	12372.json	half-true	Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.	financial-regulation,foreign-policy,water	gwen-moore	U.S. House member -- 4th District	Wisconsin	democrat	3.0	4.0	4.0	3.0	1.0	a congressional hearing	Moore said that when the International Finance Corporation became a part-owner of Manila Water, rates rose 845 percent. The source cited by Moores staff undermines that number. The International Finance Corporation bought its stake in 2004. Between 2004 and 2012, rates rose about 170 percent. Moore incorrectly used a figure that would apply to the period from 1997 to 2012. However, the IFC crafted the plan for privatization in the first place. All parties knew that important capital investments would follow, and that rates would go up. Moore wrongly pegged the rate increase to the date of IFCs equity position, but the development corporation played a key role from the start.
19	12385.json	mostly-true	Almost 100,000 people left Puerto Rico last year.	bankruptcy,economy,population	jack-lew	Treasury secretary 	Washington, D.C. 	democrat	0.0	1.0	0.0	1.0	0.0	an interview with Bloomberg News	"Our ruling  Lew said that ""almost 100,000 people left Puerto Rico last year. ""That appears to be close. Airline data suggests about 89,000 more people departed Puerto Rico for the United States then entered it in 2015. While thats not a perfect estimate to measure out-migration, all the population trends suggest Puerto Rico is experiencing a surge in out-migration, as residents leave for better jobs and prospects in the United States."
20	10173.json	false	Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.	economy,income	dennis-richardson	state representative	Oregon	republican	0.0	4.0	1.0	2.0	0.0	a campaign debate	It didnt, in other words, change the final result. The Richardson campaign did get back to us but, regardless, the information it provided doesn't hold up. Data from the two federal agencies and the state Employment Department show that both genders make more today, when their wages are adjusted for inflation, than they did when Kitzhaber was first elected in 1995.
21	9867.json	mostly-true	The United States has the highest corporate tax rate in the free world.	corporations,taxes	eric-bolling	"Co-host on Fox News Channel's ""The Five"""		none	2.0	1.0	1.0	1.0	0.0	"a discussion on Fox News' ""The Five"""	"Bolling said the United States has ""the highest corporate tax rate in the free world. ""He was referring to the statutory rate, meaning the rate before deductions. On that score, hes right: The United States does have the highest statutory rate among developed countries. However, the United States corporate tax rate doesnt appear to be the highest once deductions and other exclusions are taken into account. So Bolling is correct by one valid definition."
22	12408.json	mostly-true	We just had the best year for the auto industry in America in history.	economy	hillary-clinton	Presidential candidate	New York	democrat	40.0	29.0	69.0	76.0	7.0	remarks at a Kentucky rally	"Clinton said, ""We just had the best year for the auto industry in America in history."
23	2673.json	half-true	Says Scott Walker favors cutting up to 350,000 families and children off health care.	health-care,message-machine	greater-wisconsin-political-fund		Wisconsin	none	3.0	3.0	3.0	1.0	1.0	a campaign TV ad	"Walker changed course to a muddier position, while Greater Wisconsin has continued to cite the number. It adds an important qualifier though -- ""up to"" 350,000. Walkers new position, while unclear, still focuses on reining in BadgerCare enrollment -- whether its the 68,000 or some other number remains to be seen."
24	7057.json	barely-true	Says Mitt Romney wants to get rid of Planned Parenthood.	abortion,federal-budget,health-care	planned-parenthood-action-fund	Advocacy group	Washington, D.C.	none	1.0	0.0	0.0	0.0	0.0	a radio ad	"The Planned Parenthood Action Fund aid said that Romney wants to ""get rid of Planned Parenthood. ""That directly contradicts what Romney has said -- that he wants to end federal funding for Planned Parenthood, not abolish the organization -- and his staff reaffirmed that position. Theres no question that an end to federal funding would be a significant blow to the organizations operations, potentially chopping 12 percent to 35 percent from its budget. But its an exaggeration to say that Romney would act to ""get rid"" of the organization. UPDATE: After our story appeared, Planned Parenthood provided some additional statistics about how many Medicaid patients use their services."
25	10215.json	false	I dont know who (Jonathan Gruber) is.	health-care	nancy-pelosi	House Minority Leader	California	democrat	3.0	7.0	11.0	2.0	3.0	a news conference	"Pelosi said, ""I don't know who (Jonathan Gruber) is."
26	12517.json	mostly-true	Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.	crime,diversity,homeland-security,terrorism	hillary-clinton	Presidential candidate	New York	democrat	40.0	29.0	69.0	76.0	7.0	a speech after a terrorist attack in Orlando	"Clinton said that ""hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino. ""Calculations by the director of an academic center found that the number did triple after those attacks. But its worth noting that his data does not show whether or not they remained at that elevated level, or for how long -- something that would be a reasonable interpretation of what Clinton said."
27	3910.json	half-true	Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.	candidates-biography	ted-nugent	musician	Texas	republican	0.0	0.0	2.0	0.0	2.0	an oped column.	And, Jillson said, he would not term Perrys 06 win a landslide. Indeed, he said, the governors 39 percent amounted to a comeuppance; 60 percent of voters chose a different aspirant. Our take: Perry is the third--not first--Texas governor to win re-election thrice. Two of his wins were bona fide landslides but the thirds landslide status is at least debatable.
28	11092.json	false	ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.	technology,terrorism	pamela-geller	President of American Freedom Defense Intitiative	New York	activist	0.0	1.0	1.0	0.0	0.0	a tweet 	Geller updated the original post, but it did little to stuff the rumor back into the bag.
29	12163.json	mostly-true	Youth unemployment in minority communities is about 40 to 45 percent.	diversity,economy,jobs	peter-kinder	Lieutenant governor	Missouri	republican	0.0	0.0	0.0	1.0	1.0	a gubernatorial debate	"Defining which cities, suburbs and townships are ""minority communities"" is a matter of debate. But its worth noting that Fergusons youth are not only more unemployed than their peers in St.  Louis , they are also significantly more unemployed on average than both white and black 16-24 year-olds across the country. Ferguson was the community in question when Kinder cited the rate of 40 percent to 45 percent of youth unemployment in minority communities  and Ferguson does fit into Kinders estimate."
30	13237.json	true	Says Paul Ryan is still endorsing Trump.	candidates-biography,elections,campaign-advertising	hillary-clinton	Presidential candidate	New York	democrat	40.0	29.0	69.0	76.0	7.0	a tweet	"The New York Times and ABC News said Ryan responded to criticism for not supporting Trump more by emphasizing that he wasn't withdrawing his endorsement. Our rating Clinton says Ryan ""is still endorsing Trump."
31	5383.json	barely-true	If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.	economy,labor,states,unions,workers	nicholas-kettle	State senator	Rhode Island	republican	1.0	0.0	0.0	0.0	0.0	a radio talk show	They did generally rank right-to-work states higher than union states, but they considered many other factors, including tax policy, that could account for the better rankings. (Get updates from PolitiFactRI on Twitter.
32	9727.json	false	What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.	climate-change,energy,environment,government-regulation	shelley-moore-capito	U.S. House of Representative	West Virginia	republican	1.0	1.0	0.0	0.0	0.0	a campaign ad	"Capito said ""What (Obama is) going to come out with in the next several months is you're not even going to be able to burn coal very limitedly in the existing plants. ""The proposal Capito is referring to is an EPA plan to cut carbon emissions in existing power plants. Those rules do not prohibit current facilities from burning coal, and even Capitos spokeswoman said the rule ""doesn't mean that every plant has to close. ""Some facilities will close down within the next decade, but many of those plants were scheduled to be retired anyway due to age and other factors. States and power companies have options to continue to utilize coal for energy, and experts said they expect coal to remain part of the national portfolio for years to come."
33	8239.json	mostly-true	We cut business taxes so today 70 percent of our businesses dont pay a business tax.	small-business,taxes	rick-scott	Governor	Florida	republican	28.0	23.0	38.0	34.0	7.0	a speech at an Americans for Prosperity Foundation conference	"Scott said ""70 percent of our businesses don't pay a business tax. ""His general point was that during his tenure, hes been cutting all sorts of taxes. State data for 2011 taxes shows that 76. 8 percent of businesses dont pay the corporate income tax due to the exemption. Scott is including some very small businesses here in his calculation and omitting that many of them were exempt from paying this tax before he took office."
34	10121.json	mostly-true	Says Mark Pryor votes with Obama 93 percent of the time.	bipartisanship,voting-record	tom-cotton	U.S. House of Representatives	Arkansas	republican	3.0	4.0	2.0	3.0	1.0	a debate	"Cotton said Pryor ""votes with Obama 93 percent of the time. ""Since Obama became president, Pryor has voted in line with the presidents positions between 90 and 95 percent of the time, with 92. 6 percent -- basically 93 percent -- as the average, according to the best rating system at our disposal. Pryor doesnt vote with the Democratic Party quite as often, though, and in 2013 his presidential support votes were lower than every other Senate Democrat. Cottons number is on target based on the data, but Pryor has also opposed Obama on a few key issues."
35	7550.json	true	We have a federal government that thinks they have the authority to regulate our toilet seats.	consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers	ted-cruz	Senator	Texas	republican	36.0	33.0	15.0	19.0	8.0	a speech at CPAC	"Cruz, railing against modern interpretations of the Commerce Clause and the 10th Amendment to the Constitution, said, ""We have a federal government that thinks they have the authority to regulate our toilet seats."
36	9018.json	true	Austin is a city that has basically doubled in size every 25 years or so since it was founded.	city-government,population	lee-leffingwell	Austin mayor	Texas	democrat	1.0	0.0	4.0	1.0	0.0	"his ""State of the City"" address"	"Leffingwell said Austin is a ""city that has basically doubled in size every 25 years or so since it was founded."
37	1038.json	true	The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.	military	north-korea			none	0.0	0.0	0.0	0.0	0.0	a released statement	"That means 99. 37 percent of all the tests were done by the five permanent members of the U. N.  Security Council, he said. ""It's about right,"" Sublette said of the figures cited by North Korea. ""If it's off, it's only off by a few (tests). ""We aren't inclined to quibble with fractions of one percent."
38	2940.json	pants-fire	In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.	health-care,pop-culture	walking-dead			none	0.0	0.0	0.0	0.0	1.0	the TV show's season finale	We are pleased to reassure the CDC's neighbors that they do not need to install flame-proof siding. The CDC said none of its emergency plans involve blowing up its campus. Plus, the AJC reported two cases in which the CDC emergency generator failures did not coincide with subnuclear explosions.
39	8492.json	true	Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.	debt	kelly-ayotte	U.S. Senator	New Hampshire	republican	2.0	1.0	1.0	4.0	0.0	a town hall meeting in Hudson, N.H.	Ayotte said that the country has added $6. 5 trillion to the national debt since Obama took office and $4. 9 trillion under Bush. When measuring by total debt, shes correct on both counts.
