0	2635.json	false	Says the Annies List political group supports third-trimester abortions on demand.	abortion	dwayne-bohac	State representative	Texas	republican	0.0	1.0	0.0	0.0	0.0	a mailer	That's a premise that he fails to back up. Annie's List makes no bones about being comfortable with candidates who oppose further restrictions on late-term abortions. Then again, this year its backing two House candidates who voted for more limits.
40	5352.json	false	Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.	legal-issues,supreme-court	marco-rubio	U.S. Senator	Florida	republican	33.0	24.0	32.0	35.0	5.0	a speech at the CPAC conference	"Rubio mentioned a female Supreme Court Judge and then concluded, ""if you are an appellate lawyer you need to brush up on your South African law because that is how some cases apparently are going to be decided here going forward. ""Rubio was implying that Justice Ginsburg favored South African law rather than the U. S.  Constitution, and that some cases in the U. S.  might be decided based on South African law. Rubio could have poked fun atGinsburgscomments without distorting them. There is nothing in Ginsburgsinterview in which she suggested that any legal matter in the U. S.  should be decided based on anything from South African law. Ginsburg was giving advice to another country on how to draft a constitution, and she suggested examples written more recently than the U. S.  Constitution. She didnt dis the U. S.  Constitution -- she explained that it was written at a time when slavery was legal and women didnt have equal rights. In fact, Ginsburgalso heaped lots of praise on the U. S.  Constitution."
41	12027.json	half-true	Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.	military,voting-record	keep-promise-1-pac			republican	0.0	1.0	1.0	0.0	0.0	a TV ad	"A pro-Cruz PAC said that Marco Rubio ""skipped 18 defense votes, including one to arm the Kurds to fight ISIS. The ad also omits that Rubio voted for the overall bill, which passed the Senate. The majority of the skipped votes were amendments, while many others were procedural or related to votes after the bill passed the Senate. The ad also omits that Cruz voted against the bill."
42	5210.json	pants-fire	Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company	energy,stimulus	national-republican-congressional-committee			republican	18.0	9.0	8.0	5.0	8.0	a news release	"The full name of the legislation under which the stimulus package was approved gives this one away -- the American Recovery and Reinvestment Act of 2009. Cicilline took office in January 2011, a full 23 months after passage of the bill enacting the loan guarantee program that benefited Solyndra. The National Republican Congressional Committee has every right to call the stimulus a ""boondoggle. ""And its fair to say that Cicilline supported the stimulus before taking office. But Lindsay said that Cicilline is ""responsible for this irresponsible investment. ""Wed say that Lindsay and the National Republican Congressional Committee simply used overheated rhetoric, but thats an understatement. (Get updates from PolitiFactRI on Twitter."
43	7993.json	pants-fire	Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.	abortion,pundits,women	rachel-maddow	MSNBC host		none	6.0	6.0	4.0	6.0	1.0	On “The Rachel Maddow Show,” broadcast on MSNBC	And with Kasich up for re-election next year, its no surprise that Democrats are eager for a debate that draws contrasts with the governor. But there should be no debate about what types of ultrasounds these new regulations require. Had Maddow read the language closely, she would have seen a mandate -- for external detection methods.
44	1926.json	false	We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' 	homeland-security,terrorism	jerry-patterson	state land commissioner	Texas	republican	1.0	1.0	1.0	3.0	0.0	a speech at the Texas Republican Party Convention	Just two weeks ago, American hotels were the target of bombings in Jakarta that killed eight people and injured six Americans. More recently, Napolitano told CNN on May 2, 2010  the day after a sport-utility vehicle holding a bomb was found in New Yorks Times Square  that the incident was being treated as if it could be a potential terrorist attack. And on Friday, Matthew Chandler, a spokesman for the Homeland Security Department, said: The secretary speaks publicly about terrorism often, including in a speech less than 90 minutes ago to the American Constitution Society. Patterson said Friday that Napolitanos continued use of man-made disaster proves his point. The essence of his charge at the convention was that the secretary cant and wont say terrorist attack. News accounts, congressional testimony and speeches prove otherwise.
45	11418.json	half-true	African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.	diversity,economy,jobs	bernie-s	U.S. Senator	Vermont	independent	18.0	12.0	22.0	41.0	0.0	a Democratic presidential debate in Las Vegas	"During the debate, Sanders said that ""African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent. ""He has a point that African-American and Hispanic youth have significantly worse prospects in the job market than whites do. But his numbers are too far off. Using the standard method for determining the jobless rate, the figure for African-American youths is 31. 5 percent and for Hispanic youths its 18. 6 percent. While those rates are still disproportionately high, they are not nearly as high as Sanders said."
46	7990.json	pants-fire	Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.	health-care,immigration	chain-email			none	11.0	43.0	8.0	5.0	105.0	a long-running chain email	"The chain email says that Obamacare provides insurance ""to all non-U. S.  residents, even if they are here illegally. ""Its actually citing a 2009 proposal that didnt pass, but that doesnt really matter. The Affordable Care Act does nothing to provide health insurance to anyone living in the United States illegally. (A non-U. S.  resident could be living in Mexico, France or even Mars)."
47	3652.json	false	President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.	deficit,federal-budget	john-boehner	Speaker of the House of Representatives	Ohio	republican	13.0	22.0	11.0	4.0	2.0	an interview with ABC news	"If Boehner had offered a more measured assessment, he would have had a fair point about the differences between Obamas fiscal approach and that outlined by the commission. The president certainly could have gone further in embracing the recommendations of the panel he had commissioned. But he did embrace a wide variety of them, so to say bluntly, as Boehner did, that Obama ""took exactly none of his own deficit reduction commissions ideas"" is simply not correct. To one degree or another, the commissions recommendations are sprinkled throughout Obamas budget proposals, in recognizable -- if not always in identical -- form."
48	12848.json	pants-fire	It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.	iraq,military	katrina-pierson			republican	0.0	0.0	0.0	0.0	1.0	an interview on CNN.	"Pierson said, ""It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Under the rules of engagement in 2004 and today, Khan would have been able to use deadly force to defend himself. More importantly, Khan died five years before Obama became president and Clinton his secretary of state. (Update: This fact-check has been updated to include Pierson's comments on CNN from Aug."
49	13503.json	true	Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.	patriotism	blog-posting			none	7.0	19.0	3.0	5.0	44.0	Townhall.com 	The online site Townhall. com said Hillary Clinton co-sponsored legislation in 2005 that would jail flag burners. Clinton did indeed co-sponsor a bill that would have done just that. Republicans have backed similar legislation in the past, even though the courts have ruled flag burning is legally protected.
50	4930.json	barely-true	Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country	health-care,states	rick-perry	Governor	Texas	republican	30.0	30.0	42.0	23.0	18.0	a Republican presidential debate in Iowa	Perry's right that Romney's comments about health care were edited between editions. Among other things, a line that advocated the Massachusetts model as a strong option for other states was replaced by a shorter, more generic sentence. But that line was preceded by an argument for state-level solutions, exactly the argument Romney extends now. That's not how Perry characterized it. So he did win that bet  by not betting.
51	13210.json	barely-true	Maggie Hassan raised tuition, making it the highest in America.	education	national-republican-senatorial-committee			republican	11.0	5.0	7.0	2.0	5.0	an ad	"The National Senatorial Committee says Maggie Hassan ""raised tuition, making it the highest in America. ""For starters, in-state tuition in New Hampshire for four-year colleges has been the highest in America for years, but it was that way before Hassan took office. As for Hassans role as governor, of the two budgets she crafted, one gave the university system enough money to freeze tuition, according to USNH leaders, and the other one didnt. Additionally, the state budget does not dictate tuition rates, the board of trustees does. In addition, the Republican-controlled Legislature pared down what Hassan offered in her budget proposal."
52	8187.json	false	Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.	campaign-finance,ethics,history	ken-cuccinelli	Attorney General	Virginia	republican	1.0	10.0	3.0	2.0	1.0	a speech.	"Cuccinelli, in attacking McAuliffes ethics, says the Democrat is ""the person who invented the scheme to rent out the Lincoln Bedroom. ""McAuliffe authored a memo in early 1995 listing ways Clinton could connect with top Democratic patrons. But the original note did not mention White House sleepovers; that idea was later added in the handwriting of others. McAuliffe has always denied he came up with the scheme; Clinton in 1997 took full responsibility for the idea. No doubt, McAuliffe strongly backed the sleepovers and recommended heavy hitters that should be offered a night in the Lincoln Bedroom."
53	12758.json	true	We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history	jobs	andrew-cuomo	Governor	New York	democrat	1.0	0.0	0.0	1.0	0.0	a conversation with reporters in Victor, NY.	During a press briefing in Ontario County, Gov. Cuomo told a group of reporters that 800,000 jobs had been created, the unemployment rate fell by almost half, and the state had more private sector jobs than ever before.
54	10693.json	barely-true	We have towns in West Texas that are out of water, that are having to truck in water.	water	sid-miller	State agriculture commissioner	Texas	republican	1.0	2.0	2.0	0.0	1.0	a symposium on water hosted by the Texas Tribune	"Miller said: ""We have towns in West Texas that are out of water. ""In recent years, towns around Texas occasionally ran dry until new wells or water plants met needs. But Miller named no towns out of water of late nor did we identify any."
55	13077.json	half-true	In Georgia, women earn 82 cents for every dollar earned by men.	jobs,women	jim-barksdale	Senate Candidate	Georgia	democrat	0.0	0.0	2.0	0.0	0.0	On his campaign website	Democratic U. S.  Senate candidate Jim Barksdale that women in Georgia only earn 82 cents for every dollar earned by a man. But the statement is missing substantial context needed to fully grasp a very complex issue. When asked for clarification, Barksdale's campaign issued a statement that veered into the equal-pay-for-equal-work argument, something the study behind the statement did not attempt to address.
56	3283.json	half-true	A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.	immigration	david-raynor	Senior Vice President, Government Affairs, Georgia Chamber of Commerce	Georgia	none	0.0	0.0	1.0	0.0	0.0	a state legislative committee meeting	But his suggestion the error rate ranges between 50 and 80 percent was too high. E-Verifys worst error rate -- for illegal workers -- is high, but its still well below what Raynor suggested. For all workers, it shrinks to 2. 3 to 5. 7 percent.
57	12981.json	barely-true	They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.	immigration	donald-trump	President-Elect	New York	republican	63.0	114.0	51.0	37.0	61.0	an interview on Fox News	"Trump said, ""They were going to build the wall a while ago, not so long ago, like in '06. And they couldn't get environmental impact statements. ""The Secure Fence Act of 2006 called for the construction of an additional 700 miles of fencing along the U. S. -Mexico border. While there were environmental concerns related to the construction, the Secretary of Homeland Security waived required environmental reviews in order to proceed with construction. Trumps statement suggests a wall or barrier was not built due to inability to get environmental impact statements."
58	812.json	false	Sen. Obama's campaign announced that he's choosing his cabinet.	elections	john-mccain	U.S. senator	Arizona	republican	31.0	39.0	31.0	37.0	8.0	a rally in Bensalem, Pa.	"Has Obama ""announced that he's choosing his Cabinet""?What's happening is the usual transition planning that occurs with any presidential campaign in the final days before an election."
59	7548.json	mostly-true	In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.	elections,population	battleground-texas		Texas	democrat	0.0	0.0	0.0	1.0	0.0	"an adviser's interview on the ""Colbert Report."""	"The Battleground Texas advocate said that in 2008, ""only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out. ""Research rooted in federal surveys and an analysis starting from the state's 2008 voting roll supports those figures, while our own estimates starting from Texas studies suggest a larger share of voting-age Latino citizens registered and a smaller share of them voted--which, if so, could still be fodder for pushes to improve participation."
60	6000.json	false	Only 2 percent of public high schools in the country offer PE classes.	education,health-care	michelle-obama		Illinois	democrat	0.0	2.0	1.0	4.0	0.0	an interview with NPR	Official federal data show that more than 95 percent of high schools in 2006 required PE -- a far cry from the 2 percent Obama cited.
61	321.json	mostly-true	"Said he's the only Republican candidate ""who's actually turned around a government economy."""	job-accomplishments	rudy-giuliani	Attorney	New York	republican	9.0	11.0	10.0	7.0	3.0	a debate in Boca Raton, Fla.	"Whether Huckabee's ""investment"" of higher taxes for better services was a good move is not is not a turnaround category Giuliani lists. It has to be kept in mind that the economic circumstances each chief executive faced were very different. Giuliani can't match Romney in the corporate turnaround business. And Giuliani's view of what constitutes a turnaround doesn't consider everything, but Giuliani clearly has clear accomplishments when it comes to a government turnaround."
62	1779.json	true	"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong."""	education,gays-and-lesbians,kagan-nomination,military,supreme-court	john-barrasso	Senator	Wyoming	republican	1.0	0.0	0.0	0.0	0.0	an interview on Fox News	"Justice Samuel Alito did not  participate because he had not yet been seated to the court when oral  arguments were made. ""The court did  reject the arguments put forward by the law schools, which included FAIR  and the brief filed by the Harvard professors. All of the justices who  voted opposed the law schools' arguments."
63	1833.json	mostly-true	There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.	education,message-machine,taxes	empower-texans		Texas	none	1.0	0.0	0.0	1.0	0.0	a Web video	More recent data available from the agency shows both have increased; still, the ratio of teachers to non-teachers is about the same. But Sullivan's online call to action doesn't do justice to the state's actual mix of school workers. The majority of non-teachers aren't administrators or paper shufflers; they're people who work directly with students including counselors, librarians, therapists and bus drivers.
64	8584.json	false	Under Mayor Cicilline, [Providence] was a sanctuary city.	history,homeland-security,immigration,legal-issues,pundits	john-depetro	Talk-show host	Rhode Island	talk-show-host	0.0	3.0	0.0	0.0	3.0	a statement on WPRO-AM	"John DePetro said that under Mayor David Cicilline, Providence ""was a sanctuary city. ""While there is no legal definition of ""sanctuary city,"" in the eight years that Cicilline was mayor Providence had not taken any of the measures adopted by other cities often identified by that label. (Get updates from PolitiFactRI on Twitter."
65	10829.json	pants-fire	Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.	corrections-and-updates,crime,criminal-justice,sexuality	garnet-coleman	president, ceo of Apartments for America, Inc.	Texas	democrat	1.0	0.0	1.0	0.0	1.0	a committee hearing	"Coleman told colleagues: ""Transgender individuals in the U. S.  have a 1 in 12 chance of being murdered. ""Were not judging here whether transgender individuals are at risk of attack. Click here for more on the six PolitiFact ratings and how we select facts to check. UPDATE, 12:30 p. m. , April 25, 2016: We revised this article after hearing from Kay Brown. The story now includes her analysis of how a 1-in-12 estimate came to be."
66	6612.json	true	At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.	candidates-biography,job-accomplishments	mitt-romney	Former governor	Massachusetts	republican	34.0	32.0	58.0	33.0	19.0	remarks at the Republican National Convention in Tampa	"Romney said the first lady ""praised"" Bright Horizons. She did say that she was ""excited"" to launch an initiative that included the child care provider, calling Lets Move partners ""so important. ""Those are favorable comments about the company."
